python -m agents.afterstate_trainer --selfplay 2000000 --alpha 0.1 --alpha-final 0.001 --epsilon-start 1.0 --epsilon-min 0.001 --gamma 1.0 --seed 1 --output trained_models/w_100_s1_1m.npy --mix 0               
W-table initialised: 2154 terminal winning states set to 1.0 (1.9% of 113028 states).

Phase 2: 2000000 self-play episodes (update=mc, gamma=1.0, eps 1.0 -> 0.001, alpha 0.1 -> 0.001)...
  Ep  180000/2000000 | eps=0.5370 | alpha=0.0661 | vs Random: 99.0%W/1.0%L/0.0%D | vs Naive: 68.5%W/27.5%L/4.0%D | 409s
  Ep  185000/2000000 | eps=0.5278 | alpha=0.0653 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 68.0%W/27.0%L/5.0%D | 419s
  Ep  190000/2000000 | eps=0.5188 | alpha=0.0646 | vs Random: 99.0%W/1.0%L/0.0%D | vs Naive: 68.0%W/29.5%L/2.5%D | 430s
  Ep  195000/2000000 | eps=0.5099 | alpha=0.0638 | vs Random: 99.0%W/1.0%L/0.0%D | vs Naive: 76.5%W/21.5%L/2.0%D | 440s
  Ep  200000/2000000 | eps=0.5012 | alpha=0.0631 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 68.0%W/28.5%L/3.5%D | 450s
  Ep  205000/2000000 | eps=0.4926 | alpha=0.0624 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 76.5%W/21.5%L/2.0%D | 460s
  Ep  210000/2000000 | eps=0.4842 | alpha=0.0617 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 70.5%W/27.0%L/2.5%D | 470s
  Ep  215000/2000000 | eps=0.4759 | alpha=0.0610 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 72.0%W/24.0%L/4.0%D | 479s
  Ep  220000/2000000 | eps=0.4677 | alpha=0.0603 | vs Random: 98.5%W/1.5%L/0.0%D | vs Naive: 78.0%W/20.0%L/2.0%D | 490s
  Ep  225000/2000000 | eps=0.4597 | alpha=0.0596 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 80.5%W/17.0%L/2.5%D | 499s
  Ep  230000/2000000 | eps=0.4519 | alpha=0.0589 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 86.5%W/12.5%L/1.0%D | 508s
  Ep  235000/2000000 | eps=0.4441 | alpha=0.0582 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 84.0%W/14.5%L/1.5%D | 518s
  Ep  240000/2000000 | eps=0.4365 | alpha=0.0575 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 79.0%W/19.5%L/1.5%D | 527s
  Ep  245000/2000000 | eps=0.4290 | alpha=0.0569 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 77.5%W/20.5%L/2.0%D | 537s
  Ep  250000/2000000 | eps=0.4217 | alpha=0.0562 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 90.5%W/9.0%L/0.5%D | 547s
  Ep  255000/2000000 | eps=0.4145 | alpha=0.0556 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 84.0%W/14.5%L/1.5%D | 556s
  Ep  260000/2000000 | eps=0.4074 | alpha=0.0550 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 85.0%W/13.5%L/1.5%D | 566s
  Ep  265000/2000000 | eps=0.4004 | alpha=0.0543 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 83.0%W/12.0%L/5.0%D | 575s
  Ep  270000/2000000 | eps=0.3936 | alpha=0.0537 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 85.5%W/13.5%L/1.0%D | 585s
  Ep  275000/2000000 | eps=0.3868 | alpha=0.0531 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 91.5%W/8.0%L/0.5%D | 594s
  Ep  280000/2000000 | eps=0.3802 | alpha=0.0525 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 88.0%W/10.5%L/1.5%D | 603s
  Ep  285000/2000000 | eps=0.3737 | alpha=0.0519 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 88.5%W/10.5%L/1.0%D | 613s
  Ep  290000/2000000 | eps=0.3673 | alpha=0.0513 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 86.0%W/12.0%L/2.0%D | 623s
  Ep  295000/2000000 | eps=0.3610 | alpha=0.0507 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 87.5%W/11.5%L/1.0%D | 632s
  Ep  300000/2000000 | eps=0.3548 | alpha=0.0501 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 89.5%W/7.5%L/3.0%D | 641s
  Ep  305000/2000000 | eps=0.3487 | alpha=0.0495 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 92.0%W/7.5%L/0.5%D | 651s
  Ep  310000/2000000 | eps=0.3428 | alpha=0.0490 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.0%W/6.0%L/0.0%D | 660s
  Ep  315000/2000000 | eps=0.3369 | alpha=0.0484 | vs Random: 99.0%W/1.0%L/0.0%D | vs Naive: 94.0%W/5.0%L/1.0%D | 669s
  Ep  320000/2000000 | eps=0.3311 | alpha=0.0479 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 90.0%W/9.0%L/1.0%D | 678s
  Ep  325000/2000000 | eps=0.3255 | alpha=0.0473 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/5.0%L/0.5%D | 687s
  Ep  330000/2000000 | eps=0.3199 | alpha=0.0468 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 92.0%W/5.5%L/2.5%D | 696s
  Ep  335000/2000000 | eps=0.3144 | alpha=0.0462 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.0%W/3.0%L/2.0%D | 705s
  Ep  340000/2000000 | eps=0.3090 | alpha=0.0457 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/5.0%L/0.5%D | 715s
  Ep  345000/2000000 | eps=0.3037 | alpha=0.0452 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 93.5%W/5.5%L/1.0%D | 724s
  Ep  350000/2000000 | eps=0.2985 | alpha=0.0447 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 93.0%W/5.0%L/2.0%D | 733s
  Ep  355000/2000000 | eps=0.2934 | alpha=0.0442 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.0%W/4.5%L/1.5%D | 743s
